Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,DateTime,Number Correct,Number Missing,Number Spurious,Number Overlap,Strict Precision,Strict Recall,Strict $F_1$,Lenient $F_1$,Average $F_1$,Number Training Inst,Number Training Docs,Time Training,Time Testing
[acqabr],1,1,Paum,Key,a,20120513_154355,375,247,454,92,0.40716612377850164,0.5252100840336135,0.4587155963302752,0.5712538226299694,0.5149847094801223,-1,-1,10539,13804
[acqabr],1,2,Paum,Key,a,20120513_154355,386,260,430,90,0.4260485651214128,0.5244565217391305,0.4701583434835567,0.5797807551766139,0.5249695493300852,-1,-1,10003,14075
[acqabr],1,1,ILP_config_NE_roots,Key,a,20120513_154355,141,570,143,3,0.4912891986062718,0.19747899159663865,0.2817182817182817,0.2877122877122877,0.28471528471528473,415,300,777899,27053
[acqabr],1,2,ILP_config_NE_roots,Key,a,20120513_154355,146,584,184,6,0.43452380952380953,0.1983695652173913,0.27238805970149255,0.2835820895522388,0.27798507462686567,423,300,1544875,28775
[dlramt],2,1,Paum,Key,a,20120513_162921,109,27,69,13,0.5706806282722513,0.7315436241610739,0.6411764705882353,0.7176470588235295,0.6794117647058824,-1,-1,9325,10086
[dlramt],2,2,Paum,Key,a,20120513_162921,99,25,53,10,0.6111111111111112,0.7388059701492538,0.668918918918919,0.7364864864864865,0.7027027027027027,-1,-1,18684,11118
[dlramt],2,1,ILP_config,Key,a,20120513_162921,45,56,46,48,0.3237410071942446,0.30201342281879195,0.3125,0.6458333333333334,0.4791666666666667,134,300,257574,31537
[dlramt],2,2,ILP_config,Key,a,20120513_162921,35,48,33,51,0.29411764705882354,0.26119402985074625,0.27667984189723316,0.6798418972332015,0.47826086956521735,149,300,2338892,31223
[acquired],3,1,Paum,Key,a,20120513_170038,175,127,209,39,0.41371158392434987,0.5131964809384164,0.45811518324607325,0.5602094240837696,0.5091623036649214,-1,-1,9589,12315
[acquired],3,2,Paum,Key,a,20120513_170038,174,138,153,30,0.48739495798319327,0.5087719298245614,0.4978540772532189,0.5836909871244635,0.5407725321888412,-1,-1,9971,11483
[acquired],3,1,ILP_config_NE_roots,Key,a,20120513_170038,105,218,178,18,0.3488372093023256,0.30791788856304986,0.32710280373831774,0.383177570093458,0.3551401869158879,295,300,623671,27212
[acquired],3,2,ILP_config_NE_roots,Key,a,20120513_170038,97,230,157,15,0.36059479553903345,0.28362573099415206,0.31751227495908346,0.36661211129296234,0.34206219312602293,299,300,1129715,26210
[purchabr],4,1,ILP_config_NE_roots,Key,a,20120513_174045,60,598,119,6,0.32432432432432434,0.09036144578313253,0.1413427561837456,0.15547703180212016,0.14840989399293286,398,300,860662,26891
[purchabr],4,2,ILP_config_NE_roots,Key,a,20120513_174045,89,495,204,15,0.288961038961039,0.14858096828046743,0.19625137816979052,0.22932745314222713,0.21278941565600884,428,300,1430079,27135
[purchabr],4,1,Paum,Key,a,20120513_174045,314,288,406,62,0.40153452685422,0.47289156626506024,0.4343015214384509,0.5200553250345782,0.47717842323651455,-1,-1,9799,12900
[purchabr],4,2,Paum,Key,a,20120513_174045,343,210,520,46,0.3773377337733773,0.5726210350584308,0.45490716180371354,0.5159151193633952,0.4854111405835544,-1,-1,9841,13191
[purchaser],5,1,Paum,Key,a,20120513_181030,186,104,176,19,0.4881889763779528,0.6019417475728155,0.5391304347826087,0.5942028985507246,0.5666666666666667,-1,-1,9734,11204
[purchaser],5,2,Paum,Key,a,20120513_181030,162,138,153,15,0.4909090909090909,0.5142857142857142,0.5023255813953488,0.5488372093023255,0.5255813953488371,-1,-1,10250,10844
[purchaser],5,1,ILP_config_NE_roots,Key,a,20120513_181030,126,167,171,16,0.402555910543131,0.4077669902912621,0.40514469453376206,0.4565916398713827,0.43086816720257237,297,300,601300,27057
[purchaser],5,2,ILP_config_NE_roots,Key,a,20120513_181030,97,209,140,9,0.3943089430894309,0.30793650793650795,0.34581105169340465,0.37789661319073087,0.36185383244206776,300,300,1072238,26204
[seller],6,1,Paum,Key,a,20120513_183418,26,110,116,4,0.1780821917808219,0.18571428571428572,0.18181818181818182,0.2097902097902098,0.1958041958041958,-1,-1,9502,10746
