name,freq
MARIE,771457.4385
JANA,523261.5811
ANNA,326195.6635
EVA,310220.1652
HANA,288700.7537
VĚRA,271665.027
LENKA,219689.1805
ALENA,212865.0272
JAROSLAVA,196130.8682
LUDMILA,195613.0823
PETRA,184841.9966
KATEŘINA,175802.554
HELENA,175123.5526
LUCIE,166472.9237
ZDEŇKA,165224.9268
JARMILA,157057.944
JITKA,156067.8918
JIŘINA,150106.7151
BOŽENA,146806.5409
MARTINA,145748.2092
IVANA,132803.5605
VLASTA,128058.1377
VERONIKA,123703.4251
MICHAELA,119028.1784
MONIKA,111143.7967
RŮŽENA,107086.8585
DAGMAR,106753.0478
MARCELA,106056.9766
LIBUŠE,104344.3
DANA,99733.53939
ZUZANA,98005.68958
MARTA,97442.38399
MARKÉTA,96820.28219
IRENA,90764.27292
MIROSLAVA,89362.64723
PAVLA,80249.23522
OLGA,79553.164
MILADA,77002.1673
TEREZA,76569.73069
IVETA,67983.58789
ZDENKA,67463.90529
BLANKA,66214.01174
ANDREA,65944.68718
ŠÁRKA,65846.06129
BARBORA,64865.4923
PAVLÍNA,64818.076
RENATA,58944.14531
ELIŠKA,58136.17163
MILOSLAVA,56700.40621
MILENA,53140.39074
EMILIE,53045.55815
KRISTÝNA,51530.13334
GABRIELA,50010.91523
RADKA,49483.64602
IVA,49193.4583
MILUŠE,48165.47301
FRANTIŠKA,48059.26051
ANEŽKA,48040.29399
KVĚTOSLAVA,44814.08924
KLÁRA,43973.87248
SIMONA,42835.88139
DANIELA,42052.56419
STANISLAVA,41515.81172
ROMANA,41060.61529
ILONA,40294.36795
NIKOLA,39289.14248
NADĚŽDA,38655.66078
DRAHOMÍRA,37656.12527
SOŇA,36827.28842
VLADIMÍRA,36250.70627
DANUŠE,35645.67433
JINDŘIŠKA,35408.59286
DENISA,33544.18412
KAMILA,32062.89904
RENÁTA,29876.05949
ALŽBĚTA,29310.85725
ADÉLA,27723.35968
ANETA,26221.21143
MÁRIA,25307.02526
BOHUMILA,25263.40226
ŠTĚPÁNKA,23850.39666
KAROLÍNA,23120.1857
ANTONIE,22979.83347
BLAŽENA,22955.177
LADISLAVA,19977.43364
MAGDALENA,18515.11508
JOSEFA,18173.71775
HEDVIKA,17953.70614
KVĚTA,17942.32623
VENDULA,17691.96819
KVĚTUŠE,16388.96839
KARLA,15599.96123
ŽANETA,14962.68622
ALICE,14901.99336
KRISTINA,14886.82015
JULIE,14755.95117
DOMINIKA,13405.53507
SILVIE,13274.6661
VÁCLAVA,13221.55985
MARGITA,12997.75493
BOHUSLAVA,12510.31542
EDITA,12206.85112
ERIKA,11833.21071
ALEXANDRA,11601.81919
JOLANA,11140.9328
