name,freq
NOVÁKOVÁ,69937.71704
SVOBODOVÁ,51964.40674
NOVOTNÁ,49681.98896
DVOŘÁKOVÁ,45872.12195
ČERNÁ,36399.99089
PROCHÁZKOVÁ,33103.81382
KUČEROVÁ,31161.9102
VESELÁ,26217.64459
HORÁKOVÁ,25036.5469
MARKOVÁ,22876.71422
NĚMCOVÁ,22471.98882
POKORNÁ,22090.61296
POSPÍŠILOVÁ,22065.31762
HÁJKOVÁ,21242.24625
JELÍNKOVÁ,20798.60494
KRÁLOVÁ,20461.98237
RŮŽIČKOVÁ,19788.73723
BENEŠOVÁ,19520.21749
FIALOVÁ,18899.50882
SEDLÁČKOVÁ,18514.24137
ZEMANOVÁ,17975.2561
DOLEŽALOVÁ,17918.82804
KOLÁŘOVÁ,17352.60164
NAVRÁTILOVÁ,16774.70046
ČERMÁKOVÁ,16656.00695
VAŇKOVÁ,15677.27196
KRATOCHVÍLOVÁ,15591.65697
URBANOVÁ,15492.42142
BLAŽKOVÁ,15124.66613
KŘÍŽOVÁ,14721.88652
ŠIMKOVÁ,14620.70517
KOPECKÁ,14618.75937
KOVÁŘOVÁ,14143.98534
VLČKOVÁ,14126.47319
BARTOŠOVÁ,14087.55728
KONEČNÁ,13793.74221
POLÁKOVÁ,13661.42813
MALÁ,13573.86735
MUSILOVÁ,13542.73462
ČECHOVÁ,13453.22805
STAŇKOVÁ,13268.3775
ŠTĚPÁNKOVÁ,13188.5999
KADLECOVÁ,12958.99606
DOSTÁLOVÁ,12910.35118
HOLUBOVÁ,12910.35118
ŠŤASTNÁ,12552.32487
SOUKUPOVÁ,12497.8426
KREJČOVÁ,12355.79955
SÝKOROVÁ,12289.64251
MAREŠOVÁ,12272.13036
TICHÁ,12034.74334
MORAVCOVÁ,11984.15267
VALENTOVÁ,11956.91153
VÁVROVÁ,11836.27223
BLÁHOVÁ,11810.97689
ŘÍHOVÁ,11499.64966
MAŠKOVÁ,11419.87206
MATOUŠKOVÁ,11353.71502
MACHOVÁ,11322.5823
ŠEVČÍKOVÁ,11248.64208
ŠMÍDOVÁ,11098.81585
BUREŠOVÁ,11046.27938
DUŠKOVÁ,10865.32042
PAVLÍKOVÁ,10847.80827
