name,freq
JIŘÍ,661970.2201
JOSEF,616736.949
JAN,587854.8807
PETR,530685.5509
JAROSLAV,460905.5157
PAVEL,413410.7807
FRANTIŠEK,371544.7555
MIROSLAV,358956.006
MARTIN,320383.375
VÁCLAV,314906.3608
ZDENĚK,310842.5121
TOMÁŠ,284038.276
KAREL,279862.6515
MILAN,240150.3065
VLADIMÍR,216519.7048
MICHAL,211437.8979
LADISLAV,187140.6333
STANISLAV,160625.8167
ANTONÍN,141102.9757
LUKÁŠ,140001.1856
DAVID,136288.6323
ROMAN,130464.3147
JAKUB,110799.7578
RADEK,106821.737
MILOSLAV,96406.62759
ONDŘEJ,91358.75261
MAREK,90596.28198
JAROMÍR,77107.3381
OLDŘICH,74542.48269
RUDOLF,72686.20601
DANIEL,68668.26519
JINDŘICH,64981.65979
VLASTIMIL,64865.89199
LIBOR,61792.05749
ALEŠ,61504.63401
MILOŠ,61093.45874
LUBOMÍR,58839.97877
VOJTĚCH,57261.14559
BOHUMIL,56702.26659
IVAN,52718.25772
LUBOŠ,45372.99085
ROBERT,43402.94238
FILIP,41582.59363
ALOIS,40959.84275
BOHUSLAV,37664.45264
IVO,35698.39616
ROSTISLAV,35424.94465
VLADISLAV,34786.22579
RADIM,34045.71111
RICHARD,33323.1604
PATRIK,32991.825
LUDĚK,32524.76183
DUŠAN,31460.89574
ADAM,28522.78899
KAMIL,27662.51453
ZBYNĚK,26596.65243
VÍT,25542.76632
ŠTEFAN,25057.73919
EMIL,24999.85529
JÁN,23924.01321
ŠTĚPÁN,22914.03902
JOZEF,22584.69961
DOMINIK,22317.23609
LUDVÍK,22309.2521
EDUARD,21748.37711
VÍTĚZSLAV,20802.2748
BEDŘICH,18766.35844
OTAKAR,18686.51858
MATĚJ,17492.91272
RENÉ,17279.3411
VIKTOR,17271.35711
MARCEL,16750.40204
RADOMÍR,16353.19875
DALIBOR,15784.33977
MICHAEL,15431.0484
BŘETISLAV,14894.12536
VILÉM,14331.25437
VRATISLAV,13963.99103
BOHUMÍR,12872.18098
OTTO,12025.87849
ADOLF,11944.04264
ARNOŠT,11912.1067
LEOŠ,11233.46791
PŘEMYSL,11107.72013
RADOVAN,11009.91631
MARIAN,10189.56178
PETER,9926.090248
SVATOPLUK,9429.087137
EVŽEN,8492.964811
ALEXANDR,8437.076911
BRONISLAV,8427.096929
LUMÍR,8247.45725
VLASTISLAV,7910.133854
HYNEK,7812.330028
IGOR,7674.606275
KVĚTOSLAV,7620.714371
ČESTMÍR,7151.65521
MOJMÍR,6970.019535
JURAJ,6540.880302
ZDENEK,6321.320695
LEOPOLD,6167.62897
ALEXANDER,6027.90922
RADOSLAV,5902.161445
DRAHOMÍR,5842.281552
ROBIN,5660.645877
JULIUS,5642.681909
SLAVOMÍR,5528.910112
TIBOR,5263.442587
GUSTAV,5227.514651
ANDREJ,5203.562694
ERIK,4966.039119
OTA,4924.123194
ŠIMON,4740.491522
FERDINAND,4666.639654
PAVOL,4618.73574
EMANUEL,4600.771772
ANTON,4596.779779
BOŘIVOJ,4532.907893
OTO,4405.164122
MARIÁN,4333.30825
