name,freq
NOVÁK,70146.56799
SVOBODA,51499.0075
NOVOTNÝ,49621.02623
DVOŘÁK,45458.13384
ČERNÝ,36493.46918
PROCHÁZKA,32914.52113
KUČERA,30942.94599
VESELÝ,26328.36146
HORÁK,24887.82979
NĚMEC,22784.00245
POSPÍŠIL,22049.49406
POKORNÝ,22025.07827
MAREK,21856.20238
HÁJEK,20981.3032
JELÍNEK,20297.66105
KRÁL,20232.55227
RŮŽIČKA,19703.54346
BENEŠ,19388.17283
FIALA,18946.65394
SEDLÁČEK,18250.80389
DOLEŽAL,17913.05211
ZEMAN,17876.42843
KOLÁŘ,17382.00865
KREJČÍ,17272.13759
NAVRÁTIL,16936.42047
ČERMÁK,16220.22393
URBAN,15601.69055
VANĚK,15585.41336
BLAŽEK,15060.47385
KŘÍŽ,14704.41022
KRATOCHVÍL,14458.21766
KOVÁŘ,14230.33695
BARTOŠ,14016.69877
KOPECKÝ,14000.42158
VLČEK,13929.20886
MUSIL,13855.96148
ŠIMEK,13705.39744
POLÁK,13699.29349
KONEČNÝ,13605.69962
MALÝ,13554.83339
ČECH,13129.59169
ŠTĚPÁNEK,13109.2452
KADLEC,13086.86406
STANĚK,13029.89388
DOSTÁL,12901.71098
HOLUB,12883.39913
SOUKUP,12504.95437
ŠŤASTNÝ,12370.66752
MAREŠ,12291.3162
MORAVEC,12067.50478
SÝKORA,11992.22276
TICHÝ,11815.20827
VÁVRA,11656.50563
VALENTA,11634.12449
ŘÍHA,11505.94158
MATOUŠEK,11503.90693
BLÁHA,11420.48631
ŠEVČÍK,11174.29375
BUREŠ,11145.80866
HRUŠKA,10889.44286
HRUBÝ,10706.32442
MAŠEK,10700.22047
DUŠEK,10671.73538
HAVLÍČEK,10624.93845
PAVLÍK,10606.62661
JANDA,10415.36958
MACH,10252.59764
LIŠKA,9973.850688
BERAN,9882.291471
BEDNÁŘ,9851.771732
VACEK,9756.143217
KAŠPAR,9731.727425
MACHÁČEK,9705.276985
VÍTEK,9699.173037
ŽÁK,9691.03444
BÁRTA,9680.861194
TOMAN,9678.826545
ŠMÍD,9613.717768
SEDLÁK,9609.64847
TŮMA,9540.470395
ŠVEC,9534.366447
STEJSKAL,9455.015126
JAROŠ,9168.129579
BÍLEK,9107.090102
STRNAD,9041.981325
JEŽEK,8978.907198
SLAVÍK,8948.387459
NĚMEČEK,8921.937019
MÜLLER,8777.476921
MATĚJKA,8751.026481
BERÁNEK,8720.506742
HORÁČEK,8620.808928
FIŠER,8565.873398
TESAŘ,8529.249711
BROŽ,8413.274703
KRAUS,8409.205404
KUBÍČEK,8378.685665
HORVÁTH,8260.676008
HAVEL,8165.047493
PROKOP,8097.904067
KOHOUT,8069.418977
PAVLÍČEK,8008.3795
HAVLÍK,7971.755813
KLÍMA,7959.547917
JANEČEK,7859.850103
JANOUŠEK,7831.365014
SUCHÝ,7821.191767
PEŠEK,7798.810625
ŠULC,7794.741327
PETR,7782.533431
ČÍŽEK,7715.390006
RICHTER,7688.939565
SOUČEK,7629.934737
ŠPAČEK,7599.414998
STRAKA,7589.241751
JEDLIČKA,7491.578587
KOVAŘÍK,7485.474639
KOZÁK,7422.400512
URBÁNEK,7379.672877
JEŘÁBEK,7328.806646
HAVELKA,7292.182959
ZAPLETAL,7269.801817
HANÁK,7261.66322
HLAVÁČEK,7257.593921
TOMÁŠEK,7257.593921
ADÁMEK,7231.143481
ČERVENKA,7208.762339
FILIP,7190.450496
VRBA,7182.311899
MRÁZEK,7139.584264
DANĚK,7001.228114
PŘIBYL,6883.218457
STEHLÍK,6883.218457
MÁLEK,6868.975912
HLADÍK,6830.317576
HOLÝ,6830.317576
BENDA,6799.797837
ŠTĚPÁN,6785.555292
KUBÍK,6779.451345
HRDLIČKA,6734.689061
DVOŘÁČEK,6689.926777
LINHART,6630.921948
